term,term_code,course_code,course_title,section,crn,meeting_schedule,location,location_status,instructor,schedule_type_code,class_status,cab_status_code,cancelled,start_date,end_date,cab_schedule_and_location,source_url
Fall 2026,202610,STS 1970,Independent Study in Science and Society,S27,13177,TBA,TBA,TBA,L. Tobin-Tyler,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,STS 1970,Independent Study in Science and Society,S28,13178,TBA,TBA,TBA,L. Biggs,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,STS 1970,Independent Study in Science and Society,S29,13179,TBA,TBA,TBA,K. Gallon,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,STS 2000,The Politics of Knowledge,S01,16372,F 3pm-5:30pm,Page-Robinson Hall 503,Physical location published,Chacko/Rieppel,S,Active,A,false,2026-09-09,2026-12-21,F 3pm-5:30pm in Page-Robinson Hall 503,https://cab.brown.edu/
Fall 2026,202610,STS 2970,Reading and Research,S01,13452,TBA,TBA,TBA,X. Chacko,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,STS 2970,Reading and Research,S02,13453,TBA,TBA,TBA,TBD,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,STS 2970,Reading and Research,S03,13454,TBA,TBA,TBA,TBD,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,STS 2970,Reading and Research,S04,13455,TBA,TBA,TBA,TBD,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,STS 2970,Reading and Research,S05,13456,TBA,TBA,TBA,TBD,I,Active,A,false,2026-09-09,2026-12-21,TBA,https://cab.brown.edu/
Fall 2026,202610,STS XLIST,"Science, Technology, and Society XLIST",,15958,,See primary listing,Cross-listed reference,See details,0,Cross-listed reference,X,false,2026-09-09,2026-12-21,,https://cab.brown.edu/
Fall 2026,202610,TAPS 0030,Introduction to Acting and Directing,S01,14193,TTh 9:30am-11:50am,Lyman Hall 002,Physical location published,C. Crawford,S,Active,A,false,2026-09-09,2026-12-21,TTh 9:30am-11:50am in Lyman Hall 002,https://cab.brown.edu/
Fall 2026,202610,TAPS 0100,Playwriting I,S01,14021,F 1pm-3:50pm,Lyman Hall 005,Physical location published,R. Flores,S,Active,A,false,2026-09-09,2026-12-21,F 1pm-3:50pm in Lyman Hall 005,https://cab.brown.edu/
Fall 2026,202610,TAPS 0100,Playwriting I,S02,14022,MW 10:30am-11:50am,Lyman Hall 212,Physical location published,S. Robinson,S,Active,A,false,2026-09-09,2026-12-21,MW 10:30am-11:50am in Lyman Hall 212,https://cab.brown.edu/
Fall 2026,202610,TAPS 0220,Persuasive Communication,S01,14024,MW 9am-11:50am,Lyman Hall 007,Physical location published,B. Tannenbaum,S,Active,A,false,2026-09-09,2026-12-21,MW 9am-11:50am in Lyman Hall 007,https://cab.brown.edu/
