osm_type,osm_id,name,brown_relevant_hint,building_type,amenity,operator,owner,address_number,address_street,address_city,address_state,address_postcode,levels,wikidata,wikipedia,website,latitude,longitude,osm_url,source_url,license
way,141567766,,false,office,,,,,,,,,,,,,41.8215778,-71.404767,https://www.openstreetmap.org/way/141567766,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567769,George Corlis House,false,office,,,,,,,,,,,,,41.8229748,-71.405893,https://www.openstreetmap.org/way/141567769,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567770,Auditorium Building,false,office,,,,,,,,,,,,,41.8261066,-71.4086486,https://www.openstreetmap.org/way/141567770,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567774,Industrial Design Building,false,office,,,,,,,,,,,,,41.8231253,-71.4064268,https://www.openstreetmap.org/way/141567774,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567777,121 South Main Street,true,university,,,,121,South Main Street,,,02903,,,,,41.8240573,-71.4070587,https://www.openstreetmap.org/way/141567777,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567779,,true,university,,,,,,,,,,,,,41.8263487,-71.4089816,https://www.openstreetmap.org/way/141567779,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567780,,false,office,,,,,,,,,,,,,41.8237969,-71.4068813,https://www.openstreetmap.org/way/141567780,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567784,,false,yes,,,,,,,,,2,,,,41.8225913,-71.4079232,https://www.openstreetmap.org/way/141567784,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,141567790,,false,office,,,,200,Dyer Street,Providence,RI,,,,,,41.8212834,-71.4076809,https://www.openstreetmap.org/way/141567790,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009341,State Arsenal,false,yes,,,,176,Benefit Street,,RI,,,Q7603031,"en:State Arsenal (Providence, Rhode Island)",,41.8284779,-71.4083853,https://www.openstreetmap.org/way/142009341,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009347,,false,house,,,,244,Bowen Street,,,,,,,,41.8310606,-71.4006981,https://www.openstreetmap.org/way/142009347,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009349,,false,house,,,,136,Pratt Avenue,,,,,,,,41.8311844,-71.4077975,https://www.openstreetmap.org/way/142009349,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009350,,false,house,,,,,,,,,,,,,41.8328146,-71.4016618,https://www.openstreetmap.org/way/142009350,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009355,,false,house,,,,112,Benefit Street,,,,2,,,,41.8302427,-71.4089573,https://www.openstreetmap.org/way/142009355,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
