title,categories,author,published_at,article_url,summary_excerpt,image_url,source_url
"University announces summer plans for Barus and Holley renovations, security camera expansions",University News,Talia Egnal,"Fri, 08 May 2026 01:16:56 -0400",https://www.browndailyherald.com/article/2026/05/university-announces-summer-plans-for-barus-and-holley-renovations-security-camera-expansions,"The University is in the process of renovating 10 Barus and Holley classrooms that were closed after the Dec. 13 shooting, with the goal of having the rooms available for use in the middle of the 2026-27 academic year, according to a Thursday Today@Brown announcement.Given the ""inherent uncertainties involved in such a significant renovation,"" courses will not be scheduled in these classes for the upcoming academic year, the announcement reads. The closed rooms make up roughly 10% of the Univ...",,https://www.browndailyherald.com/feed
Brown Canvas hacked in nationwide cyberattack,University News | breaking | homepage,Ian Ritter,"Thu, 07 May 2026 17:15:03 -0400",https://www.browndailyherald.com/article/2026/05/brown-canvas-hacked-in-nationwide-cyberattack,"Shortly after 4 p.m., Instructure, the parent company of Canvas, was hacked by ShinyHunters, a criminal hacker and extortion group. The Canvas webpage for many schools, including Brown, was placed under ransom along with some student data held on the platform.According to a ransom note posted on the Canvas website, ShinyHunters stated that universities have until May 12 to ""negotiate a settlement."" The note was taken down around 4:43 p.m., and the site now displays a page stating that it is u...",,https://www.browndailyherald.com/feed
"Hundreds rally for graduate unionization, immigrant protections",Metro | homepage,Michelle Bi,"Wed, 06 May 2026 00:20:03 -0400",https://www.browndailyherald.com/article/2026/05/hundreds-rally-for-graduate-unionization-immigrant-protections,"On May 1, hundreds of Brown and Providence community members gathered on the steps of the John D. Rockefeller Jr. Library before marching down to the Rhode Island State House. At the ""May Day"" rally, protestors called for an end to the war in Iran, criticized the actions of Immigration and Customs Enforcement agents and called on the University to voluntarily recognize graduate fellow unionization.The Providence mobilization - which was part of the nationwide ""May Day Strong"" movement - also...",,https://www.browndailyherald.com/feed
Spring Weekend 2026 performances deliver mixed bag to Main Green,Arts &amp; Culture | Review | homepage,Alice Xie,"Mon, 04 May 2026 14:45:47 -0400",https://www.browndailyherald.com/article/2026/05/spring-weekend-2026-performances-deliver-mixed-bag-to-main-green,"On April 25, students flocked to the Main Green for an afternoon of food trucks, flashing stage lights and live music. Hosted by the Brown Concert Agency, the annual Spring Weekend festival - a one-day event since 2024 - showcased a variety of acts ranging from synth-pop to retro-soul.While underwhelming at times, performances by Isabella Lovestory, BunnaB, Magdalena Bay and Thee Sacred Souls were ultimately enough to keep students engaged.Isabella Lovestory brought the energy - Brown didn'tW...",,https://www.browndailyherald.com/feed
poly-tongued [narrative],post- magazine | post-narrative,Christina Li,"Fri, 01 May 2026 16:13:14 -0400",https://www.browndailyherald.com/article/2026/05/glance-li,"In AsiÄ est vir clÄrus.Right around nine in the morning, when the sun shines ripe-having risen for a few hours now-the wheels touch down. At this moment, I feel my feet make contact with ground, too, but the invisible kind. At first glance through the plane window, it doesn't look any different from America. You have to squint your eyes in order to better discern the thick brush of greenery beyond the runway, the pines similar in shape yet surely more ancient.The landscape blurs past the bu...",,https://www.browndailyherald.com/feed
on violins [narrative],post- magazine | post-narrative,Danielle Li,"Fri, 01 May 2026 16:11:23 -0400",https://www.browndailyherald.com/article/2026/05/violin-li,"It is difficult for me to wax poetic about the beauty of a stringed instrument in a way that hasn't been done before by countless violinists, violists, cellists, and bassists. In fact, my description would be much lesser in fluency and articulation, albeit meant with the same sincerity.It has been many years since I last unzipped the worn fabric case of the old violin. I do not dare venture to call it my violin, as I appear to have belonged to it more than it ever belonged to me. It was hande...",,https://www.browndailyherald.com/feed
"Brown U. Health must turn over gender-affirming care records to DOJ, judge rules",Metro | homepage,James Libresco,"Fri, 01 May 2026 15:52:33 -0400",https://www.browndailyherald.com/article/2026/05/brown-u-health-must-turn-over-gender-affirming-care-records-to-doj-judge-rules,"Brown University Health must turn over patient and administrative records related to gender-affirming care for minors to the U.S. Department of Justice, a federal judge in Texas ruled Thursday.The ruling comes amid a federal investigation into healthcare providers across the nation - including Rhode Island Hospital, which is operated by BUH - about the distribution of puberty blocking and hormone therapy drugs to minors. Federal judges in other jurisdictions have shot down similar DOJ subpoen...",,https://www.browndailyherald.com/feed
bear in mind [crossword],Games | post- magazine | post-pourri,Ina Ma,"Thu, 30 Apr 2026 20:07:25 -0400",https://www.browndailyherald.com/article/2026/05/bear-ma,,,https://www.browndailyherald.com/feed
"lowercase, with a hyphen [A&C]",post- magazine | post-arts-culture,Indigo Mudbhary,"Thu, 30 Apr 2026 19:59:58 -0400",https://www.browndailyherald.com/article/2026/04/lowercase-mudbhary,"Whenever I am brainstorming what to write about for the Arts & Culture section of this fantastic publication, I tend to make a list of the films, TV series, books, songs, albums, and other media that I have consumed recently. But as I geared up to do this once again, I realized that there is an equal amount of art being produced on campus that is just as worthy of the attention of A&C writers like myself, yet seldom populates this section. From student bands to campus publications to visual a...",,https://www.browndailyherald.com/feed
"Editors' note: A semester later, our campus is as strong as ever",Opinions | Editors&#039; Note,136th Editorial Board,"Fri, 24 Apr 2026 05:34:55 -0400",https://www.browndailyherald.com/article/2026/04/editors-note-a-semester-later-our-campus-is-as-strong-as-ever,"On Jan. 23, we published our first print edition as the 136th Editorial Board. Today - over 600 articles later - we are publishing our final print edition of the semester.In the hundreds of thousands of words we have published since the beginning of our tenure, we have tried to capture the Brown community for all that it is. We are a community shaken by grief, still reeling from the unimaginable violence that shocked our campus on Dec. 13, 2025. But we are also a community defined by incredib...",,https://www.browndailyherald.com/feed
