location,date,day_of_week,hours,location_url,source_url,snapshot_note
John Hay Library Public Access,2026-07-27,Monday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Public Access,2026-07-28,Tuesday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Public Access,2026-07-29,Wednesday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Public Access,2026-07-30,Thursday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Public Access,2026-07-31,Friday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
John Hay Library Public Access,2026-08-01,Saturday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Temporary Special Collections Reading Room,2026-07-26,Sunday,Closed,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Temporary Special Collections Reading Room,2026-07-27,Monday,1pm – 5pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Temporary Special Collections Reading Room,2026-07-28,Tuesday,1pm – 5pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
Temporary Special Collections Reading Room,2026-07-29,Wednesday,10am – 5pm,https://lib.brown.edu/using-library/visiting-library/locations-hours/john-hay-library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Weekly display captured from Brown Library; hours are subject to change.
